20 PESSOAS COM MAIOR NUMERO DE ARTIGOS PUBLICADOS
Id;Nome;Area;Instituicao;Artigos Publicados
1807399214239200*;JOSE ARANA VARELA;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO;848
5436713663763286*;RUBENS MACIEL FILHO;ENGENHARIA QUIMICA;UNIVERSIDADE ESTADUAL DE CAMPINAS;535
2962183322412029*;SERGIO NEVES MONTEIRO;ENGENHARIA DE MATERIAIS E METALURGICA;INSTITUTO MILITAR DE ENGENHARIA;520
7369376873984839*;VICTOR CARLOS PANDOLFELLI;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE FEDERAL DE SAO CARLOS;518
3220111929133519*;CARLOS NELSON ELIAS;ENGENHARIA DE MATERIAIS E METALURGICA;INSTITUTO MILITAR DE ENGENHARIA;458
1025598529469393*;EDSON ROBERTO LEITE;ENGENHARIA DE MATERIAIS E METALURGICA;CENTRO NACIONAL DE PESQUISA EM ENERGIA E MATERIAIS;452
8928414093493138*;JOSE MAURO GRANJEIRO;ENGENHARIA BIOMEDICA;INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA;436
6023147667111007*;JOSE ANTONIO COUTO TEIXEIRA;ENGENHARIA BIOMEDICA;DESCONHECIDA;436
1093242836059112*;LIRIO SCHAEFFER;ENGENHARIA MECANICA;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;397
6479420970768737*;JOSE CARLOS COSTA DA SILVA PINTO;ENGENHARIA QUIMICA;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;389
2333091200416653*;FRANCISCO ANTONIO ROCCO LAHR;ENGENHARIA CIVIL;UNIVERSIDADE DE SAO PAULO;382
7355743129213406*;JOSE VLADIMIR DE OLIVEIRA;ENGENHARIA QUIMICA;UNIVERSIDADE FEDERAL DE SANTA CATARINA;376
4491496654253354*;IRENILZA DE ALENCAR NAAS;ENGENHARIA DE PRODUCAO;UNIVERSIDADE PAULISTA;346
3423653074671287*;ATTILIO CONVERTI;ENGENHARIA QUIMICA;UNIVERSITA' DEGLI STUDI DI GENOVA;339
8674398558384129*;DACHAMIR HOTZA;ENGENHARIA QUIMICA;UNIVERSIDADE FEDERAL DE SANTA CATARINA;337
0286125884999207*;JAIR MINORO ABE;ENGENHARIA DE PRODUCAO;UNIVERSIDADE PAULISTA;329
5839043594908917*;LUIZ HENRIQUE CAPPARELLI MATTOSO;ENGENHARIA DE MATERIAIS E METALURGICA;EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA;328
7481128465396350*;ANTONIO GOUVEIA DE SOUZA;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE FEDERAL DA PARAIBA;324
8956458007749112*;WALTER JOSE BOTTA FILHO;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE FEDERAL DE SAO CARLOS;324
2907270080464933*;JOEL JOSE PUGA COELHO RODRIGUES;ENGENHARIA ELETRICA;INSTITUTO NACIONAL DE TELECOMUNICACOES;323
