20 PESSOAS COM MAIOR NUMERO DE DISSERTACOES DE MESTRADO
Id;Nome;Area;Instituicao;Dissertacoes de Mestrado
3700988269240112*;JUNKER DE ASSIS GRASSIOTTO;ENGENHARIA CIVIL;GRASSIOTTO EMPREENDIMENTOS IMOBILIARIOS LTDA.;11
2962199824154480*;EDISON GONCALVES;ENGENHARIA NAVAL E OCEANICA;UNIVERSIDADE DE SAO PAULO;3
1091280846383980*;MAX HENRIQUE MACHADO COSTA;ENGENHARIA ELETRICA;UNIVERSIDADE ESTADUAL DE CAMPINAS;3
0782579980654956*;RODRIGO CEZAR KANNING;ENGENHARIA CIVIL;DESCONHECIDA;3
3065938756630845*;EDUARDO BORBA NEVES;ENGENHARIA BIOMEDICA;CENTRO DE CAPACITACAO FISICA DO EXERCITO;2
4257966538914643*;EDUARDO BITTENCOURT SYDNEY;ENGENHARIA QUIMICA;UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA;2
3928718182243143*;MARCIO DE SOUZA SOARES DE ALMEIDA;ENGENHARIA CIVIL;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;2
8881039498912666*;JOSE MAURO PEDRO FORTES;ENGENHARIA ELETRICA;PONTIFICIA UNIVERSIDADE CATOLICA DO RIO DE JANEIRO;2
6286988721312780*;THEODORO ANTOUN NETTO;ENGENHARIA NAVAL E OCEANICA;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;2
5783619992936443*;FELIX ALBERTO FARRET;ENGENHARIA ELETRICA;UNIVERSIDADE FEDERAL DE SANTA MARIA;2
7476904353230115*;TACIO MAURO PEREIRA DE CAMPOS;ENGENHARIA CIVIL;PONTIFICIA UNIVERSIDADE CATOLICA DO RIO DE JANEIRO;2
9097100603040676*;BENUR DE AZEVEDO GIRARDI;ENGENHARIA DE PRODUCAO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;2
5103490322445619*;EDUARDO DE FREITAS ROCHA LOURES;ENGENHARIA DE PRODUCAO;PONTIFICIA UNIVERSIDADE CATOLICA DO PARANA;2
6741895655912967*;LINILSON RODRIGUES PADOVESE;ENGENHARIA MECANICA;UNIVERSIDADE DE SAO PAULO;2
7319719617713459*;JOSE CARLOS DE CARVALHO PEREIRA;ENGENHARIA MECANICA;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2
5026461009915765*;PAULO ROBERTO ROSA LOPES NUNES;ENGENHARIA ELETRICA;INSTITUTO MILITAR DE ENGENHARIA;2
3745791869688184*;MAKSYM ZIBEROV;ENGENHARIA MECANICA;CENTRO UNIVERSITARIO UNA UBERLANDIA;2
5243162128451251*;MARISETE DANTAS DE AQUINO;ENGENHARIA CIVIL;UNIVERSIDADE FEDERAL DO CEARA;2
3981942070878110*;ELIANA FLAVIA CAMPORESE SERVULO;ENGENHARIA QUIMICA;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;2
3052089116789416*;SOLON JOSE SPIEGEL;ENGENHARIA ELETRICA;RIO SYSTEMS;2
