20 PESSOAS COM MAIOR GRAU
Id;Nome;Area;Instituicao;Grau
4087752487104746*;ALOISIO NELMO KLEIN;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE FEDERAL DE SANTA CATARINA;43
2365059843175411*;CARLOS ALBERTO PASKOCIMAS;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;41
6479420970768737*;JOSE CARLOS COSTA DA SILVA PINTO;ENGENHARIA QUIMICA;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;37
3129798508009056*;ALVARO ANTONIO ALENCAR DE QUEIROZ;ENGENHARIA BIOMEDICA;UNIVERSIDADE FEDERAL DE ITAJUBA;37
9203771116907153*;SERGIO MAZUREK TEBCHERANI;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA;33
5768000922241088*;VALTENCIR ZUCOLOTTO;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE DE SAO PAULO;32
1221789114690533*;MARCOS PINOTTI BARBOSA;ENGENHARIA MECANICA;UNIVERSIDADE FEDERAL DE MINAS GERAIS;31
3831923854387307*;KLEBER FRANKE PORTELLA;ENGENHARIA DE MATERIAIS E METALURGICA;INSTITUTO DE TECNOLOGIA PARA O DESENVOLVIMENTO;30
0351658283986781*;SIDNEI ANTONIO PIANARO;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;29
5436713663763286*;RUBENS MACIEL FILHO;ENGENHARIA QUIMICA;UNIVERSIDADE ESTADUAL DE CAMPINAS;29
5934458385325202*;DANILO ALVES PINTO NAGEM;ENGENHARIA BIOMEDICA;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;28
1942930894399604*;JOAO BATISTA ROSOLEM;ENGENHARIA ELETRICA;FUNDACAO CENTRO DE PESQUISA E DESENVOLVIMENTO EM TELECOMUNICACOES;27
0692818548181755*;CRISTIANO BINDER;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE FEDERAL DE SANTA CATARINA;26
0778544146240523*;SEBASTIAO RIBEIRO JUNIOR;ENGENHARIA ELETRICA;INSTITUTO DE TECNOLOGIA PARA O DESENVOLVIMENTO;26
3181772060208133*;RICARDO ALEXSANDRO DE MEDEIROS VALENTIM;ENGENHARIA BIOMEDICA;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;26
0050402182466103*;GLAUCIO BEZERRA BRANDAO;ENGENHARIA DE PRODUCAO;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;25
6034251420222926*;ANTONIO SERGIO BEZERRA SOMBRA;ENGENHARIA ELETRICA;UNIVERSIDADE FEDERAL DO CEARA;24
7992694643607149*;NEI PEREIRA JUNIOR;ENGENHARIA QUIMICA;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;24
