20 PESSOAS COM MAIOR NUMERO DE PATENTES
Id;Nome;Area;Instituicao;Patentes
4087752487104746*;ALOISIO NELMO KLEIN;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE FEDERAL DE SANTA CATARINA;129
0692818548181755*;CRISTIANO BINDER;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE FEDERAL DE SANTA CATARINA;113
9545152910170494*;ANTONIO LUIS PACHECO ROTONDARO;ENGENHARIA ELETRICA;CENTRO DE TECNOLOGIA DA INFORMACAO RENATO ARCHER;83
1237359070050095*;ANTONIO CLARETI PEREIRA;ENGENHARIA DE MATERIAIS E METALURGICA;DESCONHECIDA;61
3890657801844423*;PAULO SERGIO DAINEZ;ENGENHARIA ELETRICA;INSTITUTO FEDERAL DE SAO PAULO;59
3373368008089057*;MARCELO FARAH;ENGENHARIA DE MATERIAIS E METALURGICA;BRASKEM CAMACARI ETENO;56
4563909148326497*;GUEROLD SERGUEEVITCH BOBROVNITCHII;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO;49
7718222363510076*;ISAIAS QUARESMA MASETTI;ENGENHARIA NAVAL E OCEANICA;FUNDACAO DE APOIO A ESCOLA TECNICA DO ESTADO DO RIO DE JANEIRO;47
9271885452744905*;RICARDO LOPES DE QUEIROZ;ENGENHARIA ELETRICA;UNIVERSIDADE DE BRASILIA;46
5436713663763286*;RUBENS MACIEL FILHO;ENGENHARIA QUIMICA;UNIVERSIDADE ESTADUAL DE CAMPINAS;45
0905026139974742*;WAGNER MAURICIO PACHEKOSKI;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE FEDERAL DE SANTA CATARINA;44
1221789114690533*;MARCOS PINOTTI BARBOSA;ENGENHARIA MECANICA;UNIVERSIDADE FEDERAL DE MINAS GERAIS;41
7992694643607149*;NEI PEREIRA JUNIOR;ENGENHARIA QUIMICA;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;40
1942930894399604*;JOAO BATISTA ROSOLEM;ENGENHARIA ELETRICA;FUNDACAO CENTRO DE PESQUISA E DESENVOLVIMENTO EM TELECOMUNICACOES;38
2365059843175411*;CARLOS ALBERTO PASKOCIMAS;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;37
8570066116759027*;LUIS ANTONIO WAACK BAMBACE;ENGENHARIA AEROESPACIAL;INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS;33
9203771116907153*;SERGIO MAZUREK TEBCHERANI;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA;32
3139536479960191*;VICTOR DMITRIEV;ENGENHARIA ELETRICA;UNIVERSIDADE FEDERAL DO PARA;31
8256644098407834*;ADEMAR BENEVOLO LUGAO;ENGENHARIA QUIMICA;INSTITUTO DE PESQUISAS ENERGETICAS E NUCLEARES (CNEN/IPEN);31
6034251420222926*;ANTONIO SERGIO BEZERRA SOMBRA;ENGENHARIA ELETRICA;UNIVERSIDADE FEDERAL DO CEARA;31
