20 PESSOAS COM MAIOR NUMERO DE TESES DE DOUTORADO
Id;Nome;Area;Instituicao;Teses de Doutorado
3700988269240112*;JUNKER DE ASSIS GRASSIOTTO;ENGENHARIA CIVIL;GRASSIOTTO EMPREENDIMENTOS IMOBILIARIOS LTDA.;3
7025880167651493*;ERWIN WERNER TEICHMANN;ENGENHARIA MECANICA;INSTITUTO FEDERAL DE SANTA CATARINA;3
0100630696334012*;RODRIGO MORAES DA SILVEIRA;ENGENHARIA CIVIL;INSTITUTOS LACTEC;2
7107225405958690*;JOSE RICARDO TARPANI;ENGENHARIA AEROESPACIAL;UNIVERSIDADE DE SAO PAULO;2
2487891144100911*;TANIA REGINA TRONCO;ENGENHARIA ELETRICA;DESCONHECIDA;2
3276731095088605*;HILTON DE OLIVEIRA MOTA;ENGENHARIA ELETRICA;UNIVERSIDADE FEDERAL DE MINAS GERAIS;2
6477397959081311*;NELSON SADOWSKI;ENGENHARIA ELETRICA;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2
2952375637501519*;HENRIQUE MACEDO BAUDEL;ENGENHARIA QUIMICA;AMERICA BIOMASS TECHNOLOGIES;2
1660302572995238*;RENNAN PEREIRA DE GUSMAO;ENGENHARIA QUIMICA;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;2
8688736650901616*;ELIZABETH RODITI LACHTER;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;2
3564652725974759*;PETR IAKOVLEVITCH EKEL;ENGENHARIA DE PRODUCAO;PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS;2
4636988573211375*;LIEDI LEGI BARIANI BERNUCCI;ENGENHARIA CIVIL;UNIVERSIDADE DE SAO PAULO;2
1968858682888728*;IVANILDO HESPANHOL;ENGENHARIA CIVIL;UNIVERSIDADE DE SAO PAULO;2
7482940106365391*;MANOEL FRANCISCO CARREIRA;ENGENHARIA QUIMICA;UNIVERSIDADE ESTADUAL DE MARINGA;2
7112277465715838*;ANTONIO MACILIO PEREIRA DE LUCENA;ENGENHARIA ELETRICA;INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS;2
2715233652071800*;JULIO ROMANO MENEGHINI;ENGENHARIA NAVAL E OCEANICA;UNIVERSIDADE DE SAO PAULO;2
0071346393582982*;ADRIANA REGINA MARTIN;ENGENHARIA DE PRODUCAO;MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES;2
3065938756630845*;EDUARDO BORBA NEVES;ENGENHARIA BIOMEDICA;CENTRO DE CAPACITACAO FISICA DO EXERCITO;2
7850609436600424*;MARISA ZUCCOLO;ENGENHARIA QUIMICA;ANHANGUERA EDUCACIONAL VALINHOS;2
8987255813061182*;WILSON CABRAL DE SOUSA JUNIOR;ENGENHARIA SANITARIA;INSTITUTO TECNOLOGICO DE AERONAUTICA;2
