20 PESSOAS COM MAIOR NUMERO DE TRABALHOS TECNICOS
Id;Nome;Area;Instituicao;Trabalhos Tecnicos
7530599423996007*;LUIS CLAUDIO MENDES;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;629
1677499041492104*;ZEHBOUR PANOSSIAN;ENGENHARIA DE MATERIAIS E METALURGICA;INSTITUTO DE PESQUISAS TECNOLOGICAS DO ESTADO DE SAO PAULO;594
3730699118515237*;SELENE MARIA DE ARRUDA GUELLI ULSON DE SOUZA;ENGENHARIA QUIMICA;UNIVERSIDADE FEDERAL DE SANTA CATARINA;568
9916860252080305*;BERNARDO FONSECA TUTIKIAN;ENGENHARIA CIVIL;UNIVERSIDADE DO VALE DO RIO DOS SINOS;547
1099152007574921*;EDUARDO CARLOS BIANCHI;ENGENHARIA MECANICA;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO;458
3750805445037630*;JOAO CARLOS BAPTISTA JORGE DA SILVA;ENGENHARIA CIVIL;UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA;386
7580351882204247*;ANTONIO AUGUSTO ULSON DE SOUZA;ENGENHARIA QUIMICA;UNIVERSIDADE FEDERAL DE SANTA CATARINA;376
7476904353230115*;TACIO MAURO PEREIRA DE CAMPOS;ENGENHARIA CIVIL;PONTIFICIA UNIVERSIDADE CATOLICA DO RIO DE JANEIRO;315
0984441454729124*;PEDRO AFONSO DE OLIVEIRA ALMEIDA;ENGENHARIA CIVIL;UNIVERSIDADE DE SAO PAULO;311
6707393976354023*;MARCELINO PEREIRA DO NASCIMENTO;ENGENHARIA AEROESPACIAL;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO;284
8150925419324335*;SIDNEY LUIZ ALESSI CARRARA;ENGENHARIA AEROESPACIAL;FUNDACAO DE CIENCIA, APLICACOES E TECNOLOGIA ESPACIAIS;281
3215586187698472*;JOSIMAR RIBEIRO DE ALMEIDA;ENGENHARIA SANITARIA;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;272
8926711005682256*;FRANCISCO CARLOS RODRIGUES;ENGENHARIA CIVIL;UNIVERSIDADE FEDERAL DE MINAS GERAIS;260
0184424645432858*;EDUARDO AOUN TANNURI;DESCONHECIDA;ESCOLA POLITECNICA DA UNIVERSIDADE DE SAO PAULO;258
5721602276797687*;WAGNER ALDEIA;ENGENHARIA QUIMICA;INSTITUTO DE PESQUISAS TECNOLOGICAS DO ESTADO DE SAO PAULO;257
3841865014315126*;ANTONIO PEDRO NOVAES DE OLIVEIRA;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE FEDERAL DE SANTA CATARINA;234
9551383663863628*;MAURICIO AREDES;ENGENHARIA ELETRICA;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;231
7352874497617480*;CARLOS EDUARDO SANCHES DA SILVA;ENGENHARIA DE PRODUCAO;UNIVERSIDADE FEDERAL DE ITAJUBA;214
0408209083350066*;RICARDO ANTONIO FRANCISCO MACHADO;ENGENHARIA QUIMICA;UNIVERSIDADE FEDERAL DE SANTA CATARINA;205
3607592863193206*;ANTONIO CELSO FONSECA DE ARRUDA;ENGENHARIA MECANICA;UNIVERSIDADE ESTADUAL DE CAMPINAS;202
