20 PESSOAS COM MAIOR NUMERO DE TRABALHOS EM CONGRESSOS
Id;Nome;Area;Instituicao;Trabalhos em Congressos
2962183322412029*;SERGIO NEVES MONTEIRO;ENGENHARIA DE MATERIAIS E METALURGICA;INSTITUTO MILITAR DE ENGENHARIA;937
5436713663763286*;RUBENS MACIEL FILHO;ENGENHARIA QUIMICA;UNIVERSIDADE ESTADUAL DE CAMPINAS;850
3761585497791105*;TEODIANO FREIRE BASTOS FILHO;ENGENHARIA ELETRICA;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;551
1173620785883814*;GERMANO LAMBERT-TORRES;ENGENHARIA ELETRICA;PS SOLUCOES INDUSTRIA, COMERCIO, REPRESENTACOES E CONSULTORIA LTDA;519
2812138285118897*;JORGE ALBERTO SOARES TENORIO;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE DE SAO PAULO;490
2238947545394339*;MARIA REGINA WOLF MACIEL;ENGENHARIA QUIMICA;UNIVERSIDADE ESTADUAL DE CAMPINAS;484
4238962623790586*;JOAO LUIZ KOVALESKI;ENGENHARIA DE PRODUCAO;UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA;465
0602934516253730*;CARLOS PEREZ BERGMANN;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;454
3744737176516322*;MIRABEL CERQUEIRA REZENDE;ENGENHARIA AEROESPACIAL;UNIVERSIDADE FEDERAL DE SAO PAULO;444
7257323910817700*;MEIRY GLAUCIA FREIRE RODRIGUES;ENGENHARIA QUIMICA;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;425
1029892667445223*;JOAO ANTONIO MARTINO;ENGENHARIA ELETRICA;UNIVERSIDADE DE SAO PAULO;421
0920196032137472*;RUTH MARLENE CAMPOMANES SANTANA;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;415
1750154267305530*;JOSE LUZ SILVEIRA;ENGENHARIA MECANICA;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO;414
1395635597581964*;SANDRO CAMPOS AMICO;ENGENHARIA DE MATERIAIS E METALURGICA;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;409
2237395961717699*;ANTONIO MARCUS NOGUEIRA LIMA;ENGENHARIA ELETRICA;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;407
3933111188654098*;LUIZ CARLOS PINTO DA SILVA FILHO;ENGENHARIA CIVIL;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;404
0395636448599186*;PAULO ROBERTO CETLIN;ENGENHARIA MECANICA;UNIVERSIDADE FEDERAL DE MINAS GERAIS;400
1099152007574921*;EDUARDO CARLOS BIANCHI;ENGENHARIA MECANICA;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO;394
4016576596215504*;RAIMUNDO CARLOS SILVERIO FREIRE;ENGENHARIA ELETRICA;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;383
2031806059477046*;ROSANGELA BERGAMASCO;ENGENHARIA SANITARIA;UNIVERSIDADE ESTADUAL DE MARINGA;382
